year,city,country,avg_temp,5-year MA,10-year MA
1844,Shenzhen,Hong Kong,20.66,,
1845,Shenzhen,Hong Kong,20.66,,
1846,Shenzhen,Hong Kong,21.28,,
1847,Shenzhen,Hong Kong,20.91,,
1848,Shenzhen,Hong Kong,20.55,20.812,
1849,Shenzhen,Hong Kong,20.85,20.85,
1850,Shenzhen,Hong Kong,21.03,20.924,
1851,Shenzhen,Hong Kong,21.12,20.892,
1852,Shenzhen,Hong Kong,21.1,20.93,
1853,Shenzhen,Hong Kong,21.61,21.142,20.977
1854,Shenzhen,Hong Kong,21.47,21.266,21.058
1855,Shenzhen,Hong Kong,20.9,21.24,21.082
1856,Shenzhen,Hong Kong,20.4,21.096,20.994
1857,Shenzhen,Hong Kong,20.97,21.07,21
1858,Shenzhen,Hong Kong,20.84,20.916,21.029
1859,Shenzhen,Hong Kong,21.07,20.836,21.051
1860,Shenzhen,Hong Kong,21.08,20.872,21.056
1861,Shenzhen,Hong Kong,20.83,20.958,21.027
1862,Shenzhen,Hong Kong,20.17,20.798,20.934
1863,Shenzhen,Hong Kong,20.67,20.764,20.84
1864,Shenzhen,Hong Kong,20.53,20.656,20.746
1865,Shenzhen,Hong Kong,21.49,20.738,20.805
1866,Shenzhen,Hong Kong,21.06,20.784,20.871
1867,Shenzhen,Hong Kong,21.39,21.028,20.913
1868,Shenzhen,Hong Kong,21.6,21.214,20.989
1869,Shenzhen,Hong Kong,21.39,21.386,21.021
1870,Shenzhen,Hong Kong,21.59,21.406,21.072
1871,Shenzhen,Hong Kong,21.37,21.468,21.126
1872,Shenzhen,Hong Kong,21.52,21.494,21.261
1873,Shenzhen,Hong Kong,21.06,21.386,21.3
1874,Shenzhen,Hong Kong,21.39,21.386,21.386
1875,Shenzhen,Hong Kong,21.3,21.328,21.367
1876,Shenzhen,Hong Kong,20.74,21.202,21.335
1877,Shenzhen,Hong Kong,21.31,21.16,21.327
1878,Shenzhen,Hong Kong,21.35,21.218,21.302
1879,Shenzhen,Hong Kong,21.43,21.226,21.306
1880,Shenzhen,Hong Kong,20.67,21.1,21.214
1881,Shenzhen,Hong Kong,21.03,21.158,21.18
1882,Shenzhen,Hong Kong,20.87,21.07,21.115
1883,Shenzhen,Hong Kong,20.59,20.918,21.068
1884,Shenzhen,Hong Kong,20.21,20.674,20.95
1885,Shenzhen,Hong Kong,20.44,20.628,20.864
1886,Shenzhen,Hong Kong,20.44,20.51,20.834
1887,Shenzhen,Hong Kong,20.86,20.508,20.789
1888,Shenzhen,Hong Kong,21.37,20.664,20.791
1889,Shenzhen,Hong Kong,21.17,20.856,20.765
1890,Shenzhen,Hong Kong,21.3,21.028,20.828
1891,Shenzhen,Hong Kong,21.22,21.184,20.847
1892,Shenzhen,Hong Kong,20.74,21.16,20.834
1893,Shenzhen,Hong Kong,20.53,20.992,20.828
1894,Shenzhen,Hong Kong,21.1,20.978,20.917
1895,Shenzhen,Hong Kong,20.97,20.912,20.97
1896,Shenzhen,Hong Kong,21.18,20.904,21.044
1897,Shenzhen,Hong Kong,21.19,20.994,21.077
1898,Shenzhen,Hong Kong,21.31,21.15,21.071
1899,Shenzhen,Hong Kong,21.03,21.136,21.057
1900,Shenzhen,Hong Kong,21.02,21.146,21.029
1901,Shenzhen,Hong Kong,21.11,21.132,21.018
1902,Shenzhen,Hong Kong,21.82,21.258,21.126
1903,Shenzhen,Hong Kong,20.93,21.182,21.166
1904,Shenzhen,Hong Kong,21,21.176,21.156
1905,Shenzhen,Hong Kong,20.91,21.154,21.15
1906,Shenzhen,Hong Kong,21.16,21.164,21.148
1907,Shenzhen,Hong Kong,21.21,21.042,21.15
1908,Shenzhen,Hong Kong,21.11,21.078,21.13
1909,Shenzhen,Hong Kong,21.47,21.172,21.174
1910,Shenzhen,Hong Kong,21.11,21.212,21.183
1911,Shenzhen,Hong Kong,21.16,21.212,21.188
1912,Shenzhen,Hong Kong,21.13,21.196,21.119
1913,Shenzhen,Hong Kong,21.04,21.182,21.13
1914,Shenzhen,Hong Kong,21.86,21.26,21.216
